"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL7429";"";"0";"337.35";"0";"1.12";"MMV687803";"CC(=O)NC[C@@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 42.0 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513149";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4522106";"";"0";"222.27";"0";"1.44";"DDD01812995:01";"Cc1cscc1C(=O)Nc1ncnn1C";"MIC";"'>'";"300000.0";"nM";"";"";"Median N= 2; Maxinhib 20.9 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513160";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4530837";"";"0";"476.20";"0";"4.13";"MMV688271";"Cl.Cl.N=C(N)Nc1ccc(-c2ccc(-c3ccc(N=C(N)N)c(Cl)c3)o2)cc1Cl";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 32.5 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513149";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4573760";"";"0";"738.76";"1";"4.23";"AIK-28/39";"COc1cccc(/C=C/c2ccc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCN5CCC(O)CC5)n(C)c4)n(C)c3)cc2)c1.O=C(O)C(F)(F)F";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 17.5 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513139";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4549173";"";"0";"287.33";"0";"2.14";"MC591F1";"C#CCN(C)c1nc(N)c(C#N)c(-c2ccccc2)c1C#N";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 5.6 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513135";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL1630216";"";"0";"557.86";"2";"6.14";"MMV1782213";"O=C(CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)Nc1ccc(C(=O)O)cc1Cl";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 22.2 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4560026";"";"0";"478.37";"0";"3.66";"MMV1581034";"Cc1c(F)cccc1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)[C@H]2CCCNC2)c1O.Cl";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 34.1 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL2103812";"GOLOTIMOD";"2";"333.34";"0";"0.47";"MMV1581033";"N[C@H](CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 38.3 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL3527377";"";"0";"273.52";"None";"None";"MMV1578566";"Cl.NC[C@H]1OB(O)c2c(OCCCO)cccc21";"MIC";"'='";"5000.0";"nM";"";"";"Median N= 2; Range 10 - 5  Um";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL3394576";"";"0";"350.49";"1";"5.41";"MMV1593532";"O=C(Nc1ncc(Cc2cccc3ccccc23)s1)C1CCCCC1";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 30.4 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
